plant_id,plant_label,timestamp_hour,generation_ac_kw,generation_dc_kw,ambient_temperature_c,module_temperature_c,irradiation,plant_peak_reference_kw,capacity_factor,hour_sin,hour_cos
4136001,Plant_2,2020-05-17 20:00:00,0.0,0.0,29.528737187643678,28.727755898563217,0.0,20427.251,0.0,-0.8660254037844386,0.5000000000000001
4135001,Plant_1,2020-05-17 21:00:00,0.0,0.0,22.672175189285714,21.616323048809523,0.0,27610.891,0.0,-0.7071067811865477,0.7071067811865474
4136001,Plant_2,2020-05-17 21:00:00,0.0,0.0,28.09577393908046,27.618230023563218,0.0,20427.251,0.0,-0.7071067811865477,0.7071067811865474
4135001,Plant_1,2020-05-17 22:00:00,0.0,0.0,21.282171183333332,20.5714665,0.0,27610.891,0.0,-0.5000000000000004,0.8660254037844384
4136001,Plant_2,2020-05-17 22:00:00,0.0,0.0,26.433198839942527,25.11329428189655,0.001156316314543075,20427.251,0.0,-0.5000000000000004,0.8660254037844384
4135001,Plant_1,2020-05-17 23:00:00,0.0,0.0,21.229909388095237,20.605397145238094,0.0,27610.891,0.0,-0.25881904510252157,0.9659258262890681
4136001,Plant_2,2020-05-17 23:00:00,0.0,0.0,24.867290925287357,24.882835241954027,0.00022221190535055,20427.251,0.0,-0.25881904510252157,0.9659258262890681
4135001,Plant_1,2020-05-18 00:00:00,0.0,0.0,21.119113166666665,20.534996016666664,0.0,27610.891,0.0,0.0,1.0
4136001,Plant_2,2020-05-18 00:00:00,0.0,0.0,24.218127877873567,23.73652267643678,0.0,20427.251,0.0,0.0,1.0
4135001,Plant_1,2020-05-18 01:00:00,0.0,0.0,21.017826299999996,20.409069783333333,0.0,27610.891,0.0,0.25881904510252074,0.9659258262890683
4136001,Plant_2,2020-05-18 01:00:00,0.0,0.0,25.478123242528735,24.589958570689657,0.0,20427.251,0.0,0.25881904510252074,0.9659258262890683
4135001,Plant_1,2020-05-18 02:00:00,0.0,0.0,21.079607952380954,20.260328083333334,0.0,27610.891,0.0,0.49999999999999994,0.8660254037844387
4136001,Plant_2,2020-05-18 02:00:00,0.0,0.0,24.852001189367815,24.81534349770115,0.0,20427.251,0.0,0.49999999999999994,0.8660254037844387
